,001-L,001-R,002-L,002-R,003-L,003-R,004-L,004-R,005-L,005-R,006-L,006-R,007-L,007-R,008-L,008-R,009-L,009-R,010-L,010-R,011-L,011-R,012-L,012-R,013-L,013-R,014-L,014-R,015-L,015-R,016-L,016-R,017-L,017-R,018-L,018-R,019-L,019-R,020-L,020-R,021-L,021-R,022-L,022-R,023-L,023-R,024-L,024-R,025-L,025-R,026-L,026-R,027-L,027-R,028-L,028-R,029-L,029-R,030-L,030-R,031-L,031-R,032-L,032-R,033-L,033-R,034-L,034-R,035-L,035-R,036-L,036-R,037-L,037-R,038-L,038-R,039-L,039-R,040-L,040-R,041-L,041-R,042-L,042-R,043-L,043-R,044-L,044-R,045-L,045-R,046-L,046-R,047-L,047-R,048-L,048-R,049-L,049-R,050-L,050-R,051-L,051-R,052-L,052-R,053-L,053-R,054-L,054-R,055-L,055-R,056-L,056-R,057-L,057-R,058-L,058-R,059-L,059-R,060-L,060-R,061-L,061-R,062-L,062-R,063-L,063-R,064-L,064-R,065-L,065-R,066-L,066-R,067-L,067-R,068-L,068-R,069-L,069-R,070-L,070-R,071-L,071-R,072-L,072-R,073-L,073-R,074-L,074-R,075-L,075-R,,,,,
10700,71.0955,70.1714,71.4971,73.8538,71.6560,66.6087,67.8739,69.2722,74.3103,73.6683,71.1791,70.7513,70.4734,71.8826,62.3429,73.1108,74.7959,73.9936,73.5898,70.5710,68.7591,66.8968,76.8250,72.7938,68.6766,73.2249,67.2196,67.1170,68.9039,74.4547,69.5564,65.2300,75.1087,72.0216,70.7485,75.6836,68.2448,63.9054,72.4468,71.9399,76.5249,71.9399,67.5675,69.4413,74.7757,70.3087,72.9109,76.7200,75.4311,72.0920,70.8677,66.5268,71.1653,69.1280,71.2180,72.8314,74.9133,75.4933,74.0043,73.0894,69.8061,67.5930,66.4987,70.9723,73.0325,76.1988,61.9992,65.5263,63.2718,61.2348,72.7923,66.0245,70.2331,73.2902,74.9044,70.1979,69.5334,73.6064,68.4409,68.2984,73.9104,73.5255,68.7452,64.3691,71.3547,70.3999,67.9385,72.6095,67.3963,64.2377,69.4286,68.6379,81.4747,72.7804,72.3417,77.4511,69.7162,71.1764,74.6045,70.2286,75.5041,69.3071,70.4672,70.3711,68.0908,68.2209,69.5894,66.9151,66.1711,71.9427,73.0153,65.9337,70.6777,69.2867,64.5371,65.5140,69.5132,71.3021,72.7463,73.6100,72.6800,69.9464,69.7307,73.6988,70.7234,70.4249,71.0472,71.3213,73.4696,70.7204,69.7530,71.7854,67.2370,69.1069,66.0883,68.1367,71.7063,71.5060,73.5305,68.1377,70.8148,73.3160,69.7304,67.4195,68.3193,69.8375,71.2680,71.9694,68.9564,73.2712,,,,,
10800,71.3669,69.4809,72.0713,74.4753,71.3615,66.7035,67.7566,69.2320,74.0481,73.3239,71.2377,70.8771,71.1192,72.5225,61.1175,73.2692,74.1634,73.9210,73.4965,70.8576,69.9809,68.9640,76.7800,72.2396,68.1071,73.4826,67.0269,66.4808,68.8523,73.9791,69.6920,65.1206,75.0749,72.0692,71.0869,76.4452,68.2421,63.8416,72.9378,71.4659,76.2479,71.4659,67.8427,69.9328,74.4651,70.0711,72.5156,76.2743,75.3863,71.8489,70.1554,65.4976,71.0594,68.4233,70.5782,72.6443,75.1316,75.3857,73.9189,72.9942,69.5498,66.8252,67.2386,71.4445,72.6983,76.0359,61.9114,65.1174,63.6789,60.4592,73.2059,66.2143,69.4601,72.7816,74.1109,69.8593,69.1464,73.8242,68.2968,67.8638,73.7792,72.9236,68.6705,64.5687,71.4267,70.2339,65.6481,71.8666,67.6939,64.9125,69.6480,68.8318,81.2521,72.5749,72.6489,78.4961,69.5886,71.0820,74.4391,69.7791,74.9155,68.8296,70.8522,69.9699,66.8765,67.7552,69.1546,65.9016,66.4167,72.2287,73.0182,67.3302,70.3726,69.1939,64.0648,65.5454,69.6734,71.3289,72.9503,73.7528,72.1651,69.7886,69.8535,73.9127,70.1004,70.2885,71.2314,71.5316,73.1268,70.4228,69.5926,71.7194,66.6296,68.8308,66.8017,68.7279,71.5522,70.8165,73.7048,67.2680,70.5631,72.7721,69.5027,67.1496,68.7334,70.9160,70.7191,71.5848,69.1072,73.4142,,,,,
10900,71.6174,68.8570,72.5939,75.0039,71.0733,66.8756,67.7059,69.3088,73.7733,72.8528,71.2606,70.9226,71.7243,73.1108,60.4302,73.4623,73.5114,73.7295,73.3588,71.0940,71.1984,70.7047,76.4708,71.6741,67.2478,73.5430,66.9879,65.8613,68.8163,73.4767,69.7763,65.1615,74.5485,71.9964,71.4921,77.2607,68.2400,63.7538,73.4649,70.8725,75.8665,70.8725,68.0950,70.3121,74.1298,69.9899,72.1392,75.8400,75.2535,71.5954,69.4523,64.4043,70.9062,67.6556,69.9048,72.4854,75.2161,75.0916,73.8445,72.9383,69.2725,66.0264,67.9200,72.0091,72.3524,75.8807,61.9136,64.7502,64.1102,59.8176,73.4910,66.4060,68.6669,72.1496,73.2002,69.5752,68.7527,74.0427,68.1857,67.4725,73.5620,72.2796,68.5905,64.7536,71.5040,70.0917,62.9369,71.0691,68.0155,65.6360,69.8431,69.0223,80.7268,72.4487,72.7933,79.3014,69.4819,71.0034,74.1201,69.2178,74.2712,68.3906,71.1476,69.3771,65.6961,67.3179,68.7455,64.9238,66.6721,72.4606,72.9211,68.6770,70.0777,69.1217,63.6175,65.6374,69.7667,71.3290,73.1637,73.9504,71.6161,69.6436,69.8651,74.0921,69.4503,70.2070,71.4149,71.7187,72.7499,70.1383,69.4555,71.6757,65.8718,68.4660,67.5829,69.3343,71.4712,70.0284,73.6938,66.4641,70.4533,72.2283,69.2489,66.9224,69.1627,71.9825,70.1174,71.1590,69.2967,73.5605,,,,,
11000,71.8221,68.3201,73.0330,75.3849,70.7833,67.1212,67.7212,69.4838,73.4859,72.2592,71.2396,70.8674,72.2219,73.5720,60.3256,73.6739,72.9001,73.4620,73.1821,71.2615,72.3737,71.8761,75.9464,71.1129,66.1110,73.3757,67.0907,65.3440,68.7909,72.9715,69.7979,65.2868,73.5981,71.7076,71.9393,78.0962,68.2363,63.6477,74.0276,70.2590,75.4091,70.2590,68.3145,70.5397,73.7771,70.0939,71.7836,75.4271,75.0423,71.3291,68.7699,63.2311,70.6855,66.8474,69.2321,72.3599,75.1541,74.6348,73.7850,72.9248,68.9779,65.2474,68.4607,72.6127,72.0082,75.7344,61.9780,64.4192,64.5644,59.3279,73.5812,66.5987,67.8741,71.4433,72.2662,69.3392,68.3587,74.2641,68.1010,67.1327,73.2579,71.6057,68.5034,64.9216,71.5799,69.9623,59.4876,70.2373,68.3612,66.3962,69.9922,69.2000,79.8886,72.3980,72.7363,79.6759,69.3983,70.9421,73.6422,68.5651,73.5597,68.0065,71.2953,68.6472,64.5930,66.9327,68.3653,64.0188,66.9360,72.6318,72.7491,69.9507,69.8128,69.0718,63.2105,65.7907,69.7889,71.3090,73.3822,74.1989,71.0329,69.5097,69.6849,74.2125,68.7832,70.1815,71.5931,71.8639,72.3493,69.8700,69.3391,71.6513,65.0116,68.0206,68.4167,69.9268,71.4704,69.1235,73.4507,65.7443,70.4637,71.7077,68.9969,66.7421,69.6073,73.0095,69.4666,70.7004,69.5353,73.7050,,,,,
11100,71.9500,67.9037,73.3580,75.5600,70.4795,67.4382,67.7970,69.7350,73.1846,71.5505,71.1686,70.6969,72.5139,73.8090,60.6240,73.8834,72.3596,73.1542,72.9725,71.3461,73.4317,72.2271,75.2756,70.5662,64.7320,72.9919,67.3173,65.0865,68.7716,72.4842,69.7485,65.4532,72.3814,71.1622,72.4148,78.8908,68.2288,63.5295,74.6219,69.6921,74.9018,69.6921,68.4880,70.5774,73.4238,70.3737,71.4496,75.0406,74.7638,71.0462,68.1146,61.9561,70.3819,66.0262,68.5873,72.2707,74.9431,74.0547,73.7394,72.9542,68.6680,64.5510,68.7978,73.1771,71.6811,75.5964,62.0829,64.1147,65.0388,58.9916,73.4164,66.7910,67.0967,70.7116,71.3696,69.1437,67.9701,74.4912,68.0374,66.8515,72.8711,70.9037,68.4065,65.0697,71.6477,69.8343,54.4341,69.3963,68.7298,67.1775,70.0697,69.3523,78.7925,72.4091,72.4624,79.5144,69.3425,70.9004,73.0123,67.8418,72.7704,67.6938,71.2394,67.8330,63.6065,66.6142,68.0168,63.2245,67.2071,72.7387,72.5244,71.1254,69.5884,69.0440,62.8606,66.0004,69.7417,71.2747,73.6007,74.4869,70.4158,69.3851,69.2173,74.2446,68.1091,70.2127,71.7584,71.9386,71.9347,69.6199,69.2407,71.6437,64.1078,67.5213,69.2762,70.4676,71.5437,68.0987,72.9543,65.1201,70.5696,71.2375,68.7690,66.6127,70.0667,73.9653,68.7751,70.2186,69.8336,73.8411,,,,,
11200,71.9656,67.6452,73.5445,75.4832,70.1473,67.8260,67.9239,70.0416,72.8670,70.7358,71.0444,70.4041,72.4854,73.7325,61.1184,74.0645,71.9030,72.8323,72.7357,71.3347,74.2507,71.7622,74.5245,70.0402,63.1487,72.4406,67.6473,65.2804,68.7530,72.0320,69.6249,65.6375,71.0439,70.4006,72.9124,79.5431,68.2144,63.4048,75.2386,69.2063,74.3667,69.2063,68.5990,70.3977,73.0982,70.7911,71.1371,74.6819,74.4293,70.7434,67.4901,60.5516,69.9882,65.2201,67.9905,72.2185,74.5913,73.3965,73.7019,73.0246,68.3433,64.0051,68.9079,73.6230,71.3862,75.4648,62.2122,63.8263,65.5279,58.7979,72.9734,66.9821,66.3447,69.9969,70.5457,68.9811,67.5895,74.7270,67.9897,66.6345,72.4099,70.1660,68.2966,65.1926,71.6992,69.6959,43.4539,68.5771,69.1185,67.9577,70.0480,69.4647,77.5251,72.4581,71.9833,78.8893,69.3204,70.8813,72.2460,67.0637,71.8977,67.4641,70.9478,66.9773,62.7736,66.3696,67.7028,62.5765,67.4839,72.7814,72.2642,72.1709,69.4075,69.0363,62.5843,66.2573,69.6323,71.2315,73.8112,74.7962,69.7665,69.2669,68.3810,74.1592,67.4410,70.3001,71.8983,71.9022,71.5142,69.3896,69.1585,71.6505,63.2160,66.9912,70.1184,70.9140,71.6621,66.9939,72.2191,64.5959,70.7480,70.8467,68.5803,66.5368,70.5399,74.8145,68.0581,69.7243,70.2000,73.9601,,,,,
11300,71.8321,67.5761,73.5794,75.1403,69.7689,68.2856,68.0917,70.3861,72.5289,69.8244,70.8653,69.9900,72.0489,73.3071,61.6866,74.1832,71.5351,72.5140,72.4765,71.2239,74.6857,70.7662,73.7467,69.5384,61.3814,71.7877,68.0600,66.0265,68.7302,71.6281,69.4298,65.8292,69.6764,69.5103,73.4301,79.9175,68.1898,63.2796,75.8591,68.8131,73.8206,68.8131,68.6272,69.9921,72.8379,71.2994,70.8457,74.3508,74.0501,70.4162,66.8992,58.9817,69.5090,64.4550,67.4543,72.2025,74.1150,72.7044,73.6621,73.1317,68.0036,63.6647,68.8106,73.8996,71.1343,75.3364,62.3555,63.5440,66.0227,58.7288,72.2818,67.1709,65.6249,69.3319,69.8143,68.8435,67.2172,74.9745,67.9537,66.4863,71.8855,69.3788,68.1704,65.2823,71.7257,69.5348,47.0454,67.8188,69.5218,68.7056,69.9027,69.5210,76.1666,72.5116,71.3348,77.9844,69.3385,70.8879,71.3607,66.2412,70.9452,67.3208,70.4279,66.1106,62.1264,66.1998,67.4264,62.1063,67.7645,72.7637,71.9809,73.0548,69.2677,69.0472,62.3952,66.5502,69.4711,71.1834,74.0025,75.1023,69.0892,69.1520,67.1514,73.9336,66.7967,70.4423,71.9935,71.7031,71.0948,69.1807,69.0903,71.6697,62.3826,66.4536,70.8823,71.2278,71.7665,65.9491,71.2874,64.1703,70.9794,70.5619,68.4388,66.5158,71.0234,75.5221,67.3381,69.2300,70.6360,74.0514,,,,,
11400,71.5180,67.6817,73.4636,74.5547,69.3253,68.8175,68.2885,70.7551,72.1643,68.8242,70.6315,69.4617,71.1940,72.5749,62.2820,74.1990,71.2564,72.2103,72.1988,71.0139,74.6441,69.5454,72.9817,69.0640,59.4197,71.0944,68.5364,67.2383,68.6981,71.2805,69.1706,66.0258,68.3227,68.5753,73.9682,79.8913,68.1509,63.1586,76.4507,68.5110,73.2762,68.5110,68.5509,69.3737,72.6796,71.8603,70.5750,74.0455,73.6377,70.0621,66.3460,57.2095,68.9593,63.7507,66.9866,72.2197,73.5353,72.0177,73.6037,73.2689,67.6491,63.5531,68.5537,73.9989,70.9299,75.2069,62.5051,63.2595,66.5099,58.7633,71.4186,67.3568,64.9421,68.7391,69.1867,68.7232,66.8513,75.2357,67.9257,66.4097,71.3108,68.5259,68.0248,65.3266,71.7172,69.3387,55.0923,67.1670,69.9296,69.3790,69.6177,69.5047,74.7722,72.5286,70.5638,76.9695,69.4017,70.9223,70.3714,65.3783,69.9313,67.2571,69.7242,65.2529,61.6849,66.1012,67.1912,61.8322,68.0468,72.6924,71.6829,73.7495,69.1644,69.0742,62.3009,66.8677,69.2704,71.1336,74.1585,75.3759,68.3942,69.0359,65.5790,73.5581,66.2031,70.6367,72.0162,71.2884,70.6832,68.9949,69.0346,71.6994,61.6396,65.9270,71.4945,71.3849,71.7753,65.2563,70.2120,63.8375,71.2487,70.4019,68.3467,66.5498,71.5101,76.0611,66.6447,68.7488,71.1299,74.1028,,,,,
11500,71.0046,67.8567,73.2113,73.7764,68.7971,69.4198,68.5027,71.1381,71.7652,67.7423,70.3431,68.8300,69.9900,71.6302,62.8965,74.0689,71.0659,71.9282,71.9054,70.7135,74.1588,68.2823,72.2591,68.6213,57.2106,70.4058,69.0599,68.7136,68.6504,70.9929,68.8582,66.2275,66.9990,67.6523,74.5276,79.4314,68.0933,63.0451,76.9635,68.2924,72.7420,68.2924,68.3490,68.5700,72.6458,72.4488,70.3238,73.7635,73.2038,69.6800,65.8354,55.2280,68.3617,63.1202,66.5896,72.2660,72.8743,71.3699,73.5049,73.4270,67.2798,63.6512,68.1911,73.9482,70.7699,75.0706,62.6556,62.9652,66.9701,58.8820,70.4805,67.5389,64.3016,68.2317,68.6695,68.6114,66.4881,75.5112,67.9025,66.4060,70.6988,67.5915,67.8579,65.3087,71.6629,69.0950,59.1700,66.6679,70.3256,69.9252,69.1900,69.4012,73.3714,72.4661,69.7166,75.9493,69.5130,70.9854,69.2869,64.4752,68.8952,67.2566,68.8992,64.4174,61.4525,66.0672,67.0011,61.7545,68.3278,72.5762,71.3753,74.2391,69.0918,69.1161,62.3014,67.2003,69.0424,71.0839,74.2576,75.5847,67.7006,68.9131,63.7729,73.0403,65.6955,70.8792,71.9310,70.6263,70.2854,68.8344,68.9898,71.7379,61.0046,65.4186,71.8896,71.3825,71.6130,65.2478,69.0410,63.5902,71.5442,70.3735,68.3020,66.6370,71.9872,76.4199,66.0130,68.2950,71.6505,74.1021,,,,,
11600,70.2929,67.9166,72.8460,72.8626,68.1669,70.0815,68.7246,71.5265,71.3205,66.5835,70.0031,68.1067,68.5387,70.5745,63.5326,73.7580,70.9613,71.6714,71.5985,70.3332,73.3644,67.0566,71.6018,68.2154,54.6332,69.7494,69.6161,70.2625,68.5808,70.7637,68.5040,66.4377,65.7077,66.7707,75.1092,78.6187,68.0114,62.9407,77.3328,68.1467,72.2242,68.1467,68.0054,67.6120,72.7347,73.0518,70.0902,73.5018,72.7608,69.2718,65.3764,53.1936,67.7382,62.5695,66.2622,72.3359,72.1522,70.7919,73.3366,73.5945,66.8961,63.9102,67.7685,73.7918,70.6454,74.9208,62.8027,62.6544,67.3770,59.0676,69.5592,67.7167,63.7112,67.8150,68.2664,68.4989,66.1220,75.7987,67.8819,66.4742,70.0617,66.5624,67.6694,65.2056,71.5531,68.7903,61.9634,66.3550,70.6855,70.2885,68.6316,69.2001,71.9746,72.2862,68.8330,74.9740,69.6725,71.0769,68.1081,63.5269,67.9002,67.2972,68.0122,63.6126,61.4148,66.0896,66.8607,61.8563,68.6043,72.4245,71.0603,74.5255,69.0443,69.1701,62.3889,67.5401,68.7986,71.0351,74.2736,75.6993,67.0387,68.7759,61.8738,72.4015,65.3149,71.1641,71.7011,69.7349,69.9078,68.7015,68.9545,71.7834,60.4834,64.9446,72.0365,71.2368,71.2437,65.9618,67.8098,63.4185,71.8569,70.4686,68.2999,66.7745,72.4336,76.6061,65.4783,67.8820,72.1446,74.0385,,,,,
11700,69.4062,67.7183,72.3951,71.8632,67.4209,70.7728,68.9443,71.9124,70.8167,65.3518,69.6130,67.3021,66.9300,69.4881,64.1914,73.2513,70.9399,71.4419,71.2799,69.8868,72.4085,65.8932,71.0288,67.8546,51.4307,69.1397,70.1927,71.7467,68.4822,70.5868,68.1181,66.6591,64.4459,65.9416,75.7116,77.5894,67.8992,62.8446,77.4948,68.0624,71.7265,68.0624,67.5112,66.5247,72.9224,73.6617,69.8711,73.2567,72.3218,68.8442,64.9817,51.7750,67.1044,62.0993,66.0004,72.4221,71.3871,70.3074,73.0634,73.7576,66.4989,64.2719,67.3178,73.5728,70.5439,74.7498,62.9435,62.3209,67.6971,59.3073,68.7262,67.8887,63.1844,67.4884,67.9779,68.3750,65.7491,76.0933,67.8626,66.6109,69.4121,65.4298,67.4619,64.9886,71.3791,68.4113,64.1451,66.2363,70.9759,70.4255,67.9659,68.8963,70.5791,71.9650,67.9446,74.0628,69.8772,71.1952,66.8283,62.5248,67.0289,67.3558,67.1077,62.8452,61.5450,66.1603,66.7737,62.1096,68.8720,72.2464,70.7386,74.6286,69.0168,69.2345,62.5500,67.8801,68.5486,70.9872,74.1777,75.7004,66.4476,68.6145,60.0473,71.6714,65.0996,71.4839,71.3030,68.6995,69.5571,68.5988,68.9274,71.8341,60.0729,64.5058,71.9539,70.9758,70.6814,67.0840,66.5397,63.3135,72.1804,70.6674,68.3346,66.9585,72.8194,76.6442,65.0696,67.5213,72.5461,73.9045,,,,,
11800,68.3900,67.2626,71.8852,70.8153,66.5501,71.4289,69.1532,72.2877,70.2385,64.0507,69.1750,66.4251,65.2259,68.4268,64.8656,72.5619,70.9979,71.2405,70.9512,69.3877,71.3972,64.7913,70.5555,67.5488,46.9674,68.5826,70.7775,73.0602,68.3474,70.4525,67.7085,66.8941,63.2103,65.1630,76.3305,76.4640,67.7489,62.7535,77.4147,68.0275,71.2512,68.0275,66.8661,65.3216,73.1738,74.2737,69.6619,73.0236,71.9013,68.4105,64.6686,52.0533,66.4663,61.7079,65.7986,72.5167,70.5952,69.9345,72.6458,73.8997,66.0889,64.6857,66.8545,73.3257,70.4527,74.5496,63.0756,61.9595,67.8923,59.5912,68.0285,68.0542,62.7447,67.2465,67.8011,68.2276,65.3631,76.3868,67.8456,66.8109,68.7613,64.1915,67.2427,64.6222,71.1350,67.9445,65.9876,66.2865,71.1569,70.3221,67.2238,68.4912,69.1730,71.4990,67.0770,73.2201,70.1220,71.3378,65.4334,61.4573,66.3645,67.4116,66.2136,62.1210,61.8117,66.2712,66.7423,62.4818,69.1258,72.0494,70.4093,74.5801,69.0050,69.3066,62.7687,68.2139,68.3000,70.9395,73.9446,75.5873,65.9647,68.4144,58.4813,70.8800,65.0723,71.8290,70.7439,67.6636,69.2408,68.5286,68.9068,71.8877,59.7632,64.1047,71.6984,70.6300,69.9657,68.2776,65.2402,63.2669,72.5095,70.9428,68.4004,67.1848,73.1088,76.5679,64.8004,67.2203,72.7971,73.6984,,,,,
11900,67.3102,66.6456,71.3400,69.7440,65.5497,71.9361,69.3417,72.6434,69.5705,62.6854,68.6900,65.4842,63.4699,67.4271,65.5415,71.7280,71.1298,71.0667,70.6144,68.8481,70.3889,63.7399,70.1942,67.3097,38.8174,68.0796,71.3586,74.1058,68.1691,70.3484,67.2808,67.1446,61.9991,64.4285,76.9555,75.3206,67.5520,62.6623,77.1082,68.0290,70.7971,68.0290,66.0765,64.0012,73.4540,74.8816,69.4563,72.7973,71.5151,67.9917,64.4589,53.8666,65.8162,61.3927,65.6509,72.6094,69.7927,69.6822,72.0459,74.0027,65.6666,65.1146,66.3918,73.0738,70.3601,74.3129,63.1972,61.5654,67.9259,59.9128,67.4865,68.2118,62.4286,67.0821,67.7290,68.0432,64.9589,76.6673,67.8343,67.0663,68.1213,62.8538,67.0246,64.0651,70.8177,67.3761,67.6250,66.4542,71.1904,69.9991,66.4381,67.9920,67.7361,70.9055,66.2510,72.4442,70.4007,71.5019,63.9056,60.3087,65.9588,67.4474,65.3451,61.4466,62.1853,66.4154,66.7639,62.9426,69.3601,71.8396,70.0707,74.4153,69.0054,69.3819,63.0292,68.5345,68.0590,70.8906,73.5601,75.3791,65.6116,68.1562,57.3484,70.0530,65.2309,72.1880,70.0712,66.7875,68.9670,68.4924,68.8913,71.9413,59.5431,63.7437,71.3379,70.2245,69.1352,69.3539,63.9118,63.2719,72.8402,71.2650,68.4924,67.4497,73.2669,76.4116,64.6650,66.9816,72.8718,73.4240,,,,,
12000,66.2470,65.9622,70.7792,68.6669,64.4169,72.1443,69.5003,72.9686,68.8003,61.2679,68.1590,64.4892,61.7035,66.5149,66.2021,70.8022,71.3282,70.9192,70.2717,68.2800,69.4100,62.7227,69.9523,67.1485,33.2085,67.6312,71.9233,74.8011,67.9392,70.2608,66.8400,67.4117,60.8159,63.7324,77.5681,74.1986,67.2992,62.5636,76.6377,68.0525,70.3619,68.0525,65.1513,62.5451,73.7349,75.4763,69.2460,72.5715,71.1807,67.6164,64.3779,56.1195,65.1315,61.1518,65.5494,72.6890,68.9969,69.5478,71.2362,74.0531,65.2315,65.5345,65.9251,72.8316,70.2569,74.0343,63.3062,61.1351,67.7704,60.2684,67.0985,68.3601,62.2842,66.9873,67.7515,67.8072,64.5300,76.9200,67.8354,67.3680,67.5048,61.4353,66.8268,63.2711,70.4282,66.6916,69.1271,66.6753,71.0531,69.5041,65.6411,67.4091,66.2379,70.2177,65.4833,71.7324,70.7057,71.6838,62.2328,59.0585,65.8089,67.4493,64.5068,60.8292,62.6415,66.5875,66.8271,63.4666,69.5681,71.6210,69.7199,74.1672,69.0151,69.4565,63.3190,68.8335,67.8302,70.8389,73.0268,75.1091,65.3848,67.8181,56.7223,69.2095,65.5491,72.5471,69.3616,66.1867,68.7443,68.4901,68.8789,71.9914,59.4003,63.4258,70.9307,69.7780,68.2111,70.2391,62.5473,63.3223,73.1694,71.6058,68.6072,67.7494,73.2710,76.2053,64.6400,66.8015,72.7842,73.0908,,,,,
12100,65.2830,65.2682,70.2183,67.5962,63.1460,71.9385,69.6189,73.2502,67.9237,59.8280,67.5842,63.4547,59.9886,65.7100,66.8311,69.8369,71.5821,70.7957,69.9258,67.6929,68.4688,61.7227,69.8321,67.0735,44.1272,67.2381,72.4572,75.1102,67.6502,70.1758,66.3902,67.6962,59.6710,63.0173,78.1382,73.1120,66.9803,62.4484,76.0860,68.0813,69.9400,68.0813,64.0971,60.9149,73.9964,76.0438,69.0214,72.3388,70.9168,67.3174,64.4514,58.2721,64.3706,60.9854,65.4868,72.7427,68.2287,69.5155,70.2068,74.0042,64.7814,65.9310,65.4502,72.6058,70.1359,73.7118,63.4009,60.6680,67.4154,60.6560,66.8472,68.4973,62.3610,66.9549,67.8560,67.5054,64.0743,77.1261,67.8581,67.7052,66.9249,59.9723,66.6747,62.1935,69.9708,65.8748,70.5230,66.8872,70.7469,68.8930,64.8641,66.7548,64.6345,69.4776,64.7885,71.0824,71.0293,71.8793,60.4366,57.6785,65.8639,67.4072,63.6976,60.2770,63.1619,66.7825,66.9073,64.0329,69.7428,71.3961,69.3535,73.8622,69.0316,69.5244,63.6274,69.0998,67.6172,70.7826,72.3670,74.8140,65.2585,67.3818,56.5364,68.3615,65.9859,72.8906,68.6944,65.8880,68.5810,68.5202,68.8676,72.0333,59.3231,63.1545,70.5169,69.3021,67.1951,70.9129,61.1325,63.4133,73.4942,71.9398,68.7425,68.0812,73.1212,75.9726,64.6909,66.6715,72.5739,72.7119,,,,,
12200,64.4783,64.5875,69.6697,66.5428,61.7224,71.3280,69.6871,73.4734,66.9487,58.4363,66.9665,62.4071,58.4309,65.0288,67.4154,68.8748,71.8765,70.6919,69.5795,67.0911,67.5653,60.7246,69.8300,67.0882,48.6842,66.9019,72.9441,75.0665,67.2944,70.0803,65.9378,67.9985,58.5831,62.3156,78.6231,72.0588,66.5849,62.3058,75.5282,68.0950,69.5214,68.0950,62.9140,59.0393,74.2258,76.5651,68.7720,72.0903,70.7413,67.1248,64.7015,60.2204,63.4676,60.8952,65.4560,72.7569,67.5125,69.5587,68.9670,73.8606,64.3107,66.2960,64.9574,72.3970,69.9917,73.3480,63.4787,60.1691,66.8696,61.0743,66.7065,68.6216,62.6908,66.9787,68.0284,67.1256,63.5908,77.2628,67.9132,68.0682,66.3946,58.5238,66.5977,60.8016,69.4522,64.9054,71.8058,67.0372,70.3009,68.2164,64.1375,66.0403,62.8650,68.7296,64.1758,70.4936,71.3635,72.0831,58.6483,56.1291,66.0532,67.3130,62.9132,59.7983,63.7306,66.9962,66.9620,64.6244,69.8771,71.1660,68.9672,73.5206,69.0531,69.5790,63.9472,69.3187,67.4226,70.7196,71.6191,74.5238,65.1975,66.8377,56.6465,67.5156,66.4959,73.2010,68.1262,65.8384,68.4842,68.5789,68.8549,72.0614,59.3010,62.9357,70.1209,68.8024,66.0713,71.3760,59.6470,63.5406,73.8111,72.2454,68.8977,68.4422,72.8412,75.7302,64.7805,66.5790,72.2857,72.3014,,,,,
12300,63.8513,63.9259,69.1430,65.5183,60.1154,70.4453,69.6944,73.6223,65.9002,57.2183,66.3099,61.3897,57.1858,64.4845,67.9461,67.9437,72.1903,70.6017,69.2358,66.4804,66.6967,59.7193,69.9378,67.1902,51.5425,66.6244,73.3667,74.7570,66.8653,69.9634,65.4919,68.3186,57.5794,61.5680,78.9704,71.0259,66.1034,62.1235,75.0193,68.0682,69.0933,68.0682,61.5926,56.7916,74.4157,77.0165,68.4882,71.8163,70.6686,67.0566,65.1421,61.9846,62.3173,60.8836,65.4480,72.7182,66.8749,69.6433,67.5389,73.6044,63.8103,66.6249,64.4350,72.2007,69.8207,72.9504,63.5358,59.6527,66.1546,61.5228,66.6495,68.7306,63.2652,67.0543,68.2555,66.6610,63.0773,77.3034,68.0101,68.4474,65.9253,57.1752,66.6234,59.1503,68.8815,63.7560,72.9300,67.0862,69.7614,67.5127,63.4909,65.2745,60.8483,68.0173,63.6497,69.9677,71.6997,72.2887,57.2438,54.3516,66.3137,67.1610,62.1484,59.4001,64.3318,67.2248,66.9355,65.2250,69.9646,70.9308,68.5563,73.1562,69.0779,69.6131,64.2734,69.4716,67.2490,70.6484,70.8310,74.2585,65.1687,66.1920,56.9184,66.6743,67.0369,73.4595,67.6803,65.9533,68.4584,68.6612,68.8382,72.0691,59.3250,62.7751,69.7545,68.2799,64.8083,71.6385,58.0618,63.7007,74.1189,72.5046,69.0734,68.8299,72.4696,75.4894,64.8740,66.5101,71.9560,71.8734,,,,,
